document_id,main_category,sub_category
03630,cond-mat,supr-con
10039,nucl-th,
03567,stat,CO
05143,cs,CV
07572,physics,ins-det
07632,cs,CV
05988,hep-ex,
05431,astro-ph,EP
08816,physics,atom-ph
07633,cs,HC
08323,cs,CR
03363,cond-mat,dis-nn
00592,hep-ph,
01305,quant-ph,
07219,physics,ed-ph
05338,cs,IT
08006,physics,optics
05129,math,AC
02309,stat,ML
04616,cond-mat,mtrl-sci
07101,astro-ph,EP
09694,gr-qc,
00258,math,OC
04198,math,DS
10586,physics,chem-ph
09098,gr-qc,
03657,physics,optics
10573,cond-mat,mtrl-sci
03094,astro-ph,HE
04412,math,DG
10325,math,CV
04361,math,AP
03266,math,OC
00300,hep-ph,
00828,math,AP
07941,q-fin,ST
02957,math,GN
06926,quant-ph,
02573,physics,app-ph
02700,math,PR
